FL Paper Experiment | INFO flwr 2024-04-01 14:44:17,528 | main.py:26 | 
FL Paper Experiment | DEBUG flwr 2024-04-01 15:24:40,136 | server.py:173 | evaluate_round 20: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:24:58,952 | server.py:187 | evaluate_round 20 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:24:58,956 | server.py:222 | fit_round 21: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:26:39,403 | server.py:236 | fit_round 21 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:26:45,022 | server.py:173 | evaluate_round 21: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:27:00,964 | server.py:187 | evaluate_round 21 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:27:00,965 | server.py:222 | fit_round 22: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:28:39,525 | server.py:236 | fit_round 22 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:28:42,527 | server.py:173 | evaluate_round 22: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:28:56,631 | server.py:187 | evaluate_round 22 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:28:56,632 | server.py:222 | fit_round 23: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:30:34,427 | server.py:236 | fit_round 23 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:30:45,572 | server.py:173 | evaluate_round 23: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:31:08,557 | server.py:187 | evaluate_round 23 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:31:08,559 | server.py:222 | fit_round 24: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:32:52,015 | server.py:236 | fit_round 24 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:32:57,097 | server.py:173 | evaluate_round 24: strategy sampled 18 clients (out of 25)
